keyword,category_name,country,trends_mean,trends_slope,yt_total_views,yt_engagement,ali_avg_sale_price,cluster,success_proba,rf_prob,xgb_prob_high,forecast_mean,trend_quality,consistency_score,social_velocity,POS,tier
patin electrico,Sports & Entertainment,MX,57.868132,-0.120226,3437.0,0.026477,49.776,Muerto,0.00403,0.008507,0.004423,47.047778,-0.421452,0.0,18.2,0.158282,LOW
Mochila impermeable,Luggage & Bags,MX,14.225806,1.03871,3041.0,0.037159,171.338,Muerto,0.085123,0.03,0.005391,100.0,0.707431,0.0,3.323529,0.221443,LOW
arduino,Electronic Components & Supplies,MX,55.43956,0.067288,4777.0,0.045217,25.885,Estable,0.002333,0.0,0.004637,61.495461,0.23214,0.0,43.2,0.17622,LOW
microfonos,Consumer Electronics,MX,62.120879,0.081207,7662.0,0.020491,108.609,Muerto,0.003174,0.005,0.004423,69.429527,0.399049,9e-06,19.625,0.181609,LOW
teclados,Computer & Office,MX,60.43956,-0.24222,1069.0,0.007484,249.195,Muerto,0.001001,0.01,0.004423,38.639752,-1.007806,1e-06,4.0,0.140717,LOW
tenis puma,"Sports Shoes,Clothing&Accessories",MX,71.593407,-0.069772,24069.0,0.042004,492.369,Barato masivo,0.002222,0.01,0.004422,65.313903,-0.43506,2.8e-05,144.428571,0.163571,LOW
laptop hp,Computer & Office,MX,43.054945,-0.111626,5088.0,0.038129,51.21,Muerto,0.000489,0.01,0.004422,33.0086,-0.385166,1e-05,27.714286,0.159317,LOW
chamarras,Home & Garden,MX,48.087912,-0.492069,130029.0,0.018657,40.668,Estable,0.001597,0.005,0.004423,3.80172,-1.241426,0.0,50.541667,0.135481,LOW
pantallas,Phones & Telecommunications Accessories,MX,82.813187,-0.012327,57414.0,0.008047,16.112,Muerto,0.004279,0.0,0.004419,81.703774,-0.132807,0.001248,9.428571,0.3161,MEDIUM
usb,Lights & Lighting,MX,83.824176,0.026278,638.0,0.133229,23.381,Estable,0.005613,0.005,0.004418,86.189202,0.27769,0.000976,28.333333,0.295699,MEDIUM
jaulas,Home & Garden,MX,55.241758,0.038812,4615790.0,0.0161,39.818889,Estable,0.01779,0.01,0.004423,58.73483,0.132572,0.0,1581.12766,0.216658,LOW
iphone,Phones & Telecommunications Accessories,MX,65.296703,-0.143144,697887.0,0.03591,16.615,Estable,0.008411,0.0,0.004423,52.41376,-0.977544,0.000191,2278.272727,0.222072,LOW
destornillador electrico,Tools,MX,3.989011,0.14093,541032.0,0.036604,33.944,Estable,0.000961,0.0,0.004393,16.672719,0.04219,4e-06,495.1,0.18181,LOW
teclado dareu,Computer & Office,MX,1.098901,0.044593,,0.0,440.086,Barato masivo,0.001088,0.0,0.004387,5.112279,0.004268,2.8e-05,0.0,0.17174,LOW
anillo remoto,Consumer Electronics,MX,1.098901,0.020704,2717.0,0.026132,127.772857,Muerto,0.001049,0.0,0.004388,2.962255,0.001981,2.8e-05,5.461538,0.171792,LOW
aspiradora portatil,Home Appliances,MX,2.549451,0.066555,173826.0,0.025037,120.219,Estable,0.006775,0.0,0.004393,8.539417,0.014185,1.7e-05,334.769231,0.18106,LOW
reloj ventilador,Home Appliances,MX,3.076923,0.164039,177004.0,0.005655,150.01,Muerto,0.013376,0.005,0.004388,17.84042,0.031681,0.0,143.0,0.177523,LOW
luz pastillo baseus,Lights & Lighting,MX,1.098901,0.019111,,0.0,77.051111,Muerto,0.002296,0.0,0.004388,2.81892,0.001829,2.8e-05,0.0,0.172156,LOW
power bank,Lights & Lighting,MX,50.505495,-0.030658,1357.0,0.019897,29.314,Muerto,0.005708,0.008507,0.004423,47.746297,-0.121717,8e-06,13.5,0.168051,LOW
ventilador de cuello,Home Appliances,MX,3.516484,0.112964,5938.0,0.011452,68.802,Muerto,0.006705,0.0,0.004388,13.68323,0.030562,6e-06,3.238095,0.172162,LOW
