keyword,category_name,success,success_proba
patin electrico,Sports & Entertainment,0,0.03127960015984693
Mochila impermeable,Luggage & Bags,0,0.22788212356155785
arduino,Electronic Components & Supplies,0,0.04415040649912197
microfonos,Consumer Electronics,0,0.04528561624453503
teclados,Computer & Office,0,0.024942405686723394
tenis puma,"Sports Shoes,Clothing&Accessories",0,0.0343340409173488
laptop hp,Computer & Office,0,0.03178098573351131
chamarras,Home & Garden,0,0.01562781979424758
pantallas,Phones & Telecommunications Accessories,0,0.03816210974597804
usb,Lights & Lighting,0,0.04096158955222048
jaulas,Home & Garden,0,0.04191205548492322
iphone,Phones & Telecommunications Accessories,0,0.02998060200970194
destornillador electrico,Tools,0,0.050479170060509136
teclado dareu,Computer & Office,0,0.04235752797662997
anillo remoto,Consumer Electronics,0,0.04054555138734464
aspiradora portatil,Home Appliances,0,0.0440914165396693
reloj ventilador,Home Appliances,0,0.052636343657000845
luz pastillo baseus,Lights & Lighting,0,0.04042742856477464
power bank,Lights & Lighting,0,0.036898027821509576
ventilador de cuello,Home Appliances,0,0.04798047902194717
bocina retro,Sports & Entertainment,0,0.04424674723263265
laser pointer,Sports & Entertainment,0,0.04814882047640598
lavamanos,Home & Garden,0,0.025890172259383795
ducha,Home & Garden,0,0.030340829868276464
cajas de carton,Jewelry & Accessories,0,0.17500271210859744
faros led para carro,"Automobiles, Parts & Accessories",1,0.7495473617928976
lavadora,Home & Garden,0,0.03140021530330337
cortina plastica,Home & Garden,0,0.04523924482757833
mouse inalambrico,Computer & Office,0,0.04392762478998103
teclado gamer,Computer & Office,0,0.30986829691279005
pecera de vidrio,Home & Garden,1,0.960493744111541
soporte para tv,Consumer Electronics,0,0.10195351501506776
escritorio,Phones & Telecommunications Accessories,0,0.04480892712643794
maquina de coser,Home & Garden,0,0.025909595115019255
cama de niño,Toys & Hobbies,1,0.9828525957633176
marmol,Home & Garden,0,0.017684748009206795
marcador amarillo,Office & School Supplies,0,0.13989283950852996
tornillos,Tools,0,0.016333880806386977
control xbox,Consumer Electronics,0,0.03610351919010857
control playstation,Consumer Electronics,0,0.056818663326748446
raton gamer,Computer & Office,0,0.04033552166507582
cafetera express,Home & Garden,0,0.11511870612905699
xiaomi tag,Watches,0,0.09433690480859715
camara web,Consumer Electronics,0,0.04219501679636827
rastreador,Home & Garden,0,0.04332379549222068
microfono,Consumer Electronics,0,0.03848147740489748
camara inalambrica,"Automobiles, Parts & Accessories",0,0.1430055546018315
hub usb,Computer & Office,0,0.046036887844648045
organizador tarjetas,Home & Garden,0,0.04297854106451688
impresora termica portatil,Computer & Office,0,0.06891297716425056
