category_name,total_products,avg_POS,max_POS,avg_success_proba,avg_trend_quality,avg_social_velocity,avg_xgb_prob_high,tier_HIGH,tier_MEDIUM,tier_LOW,cluster_viral,cluster_barato,cluster_estable,cluster_muerto,top_product_1,top_product_1_POS,top_product_2,top_product_2_POS,top_product_3,top_product_3_POS,computed_at
Motorcycle Equipments & Parts,1,0.6643,0.6643,0.9998,3.5016,0.0,0.9422,1,0,0,1,0,0,0,casco bicicleta,0.6643,,,,,2026-05-21T16:04:52.108035+00:00
Industrial & Business,1,0.658,0.658,0.9998,3.2645,11.5455,0.9422,1,0,0,0,1,0,0,masajeador electrico,0.658,,,,,2026-05-21T16:04:52.108035+00:00
Mother & Kids,1,0.6553,0.6553,0.9996,3.1773,0.0,0.9416,1,0,0,1,0,0,0,saco de dormir,0.6553,,,,,2026-05-21T16:04:52.108035+00:00
Men's Clothing,1,0.6283,0.6283,0.9969,2.1866,56.0,0.0121,0,1,0,1,0,0,0,traje de buzo,0.6283,,,,,2026-05-21T16:04:52.108035+00:00
Apparel Accessories,5,0.4165,0.7063,0.4449,2.1595,463.3942,0.3588,1,3,1,3,0,2,0,guantes de futbol,0.7063,gafas de sol,0.512,montura para caballo,0.3762,2026-05-21T16:04:52.108035+00:00
Toys & Hobbies,6,0.3794,0.7684,0.3441,2.0084,740.0371,0.3097,1,1,4,1,1,0,4,cama de niño,0.7684,figuras coleccionables,0.6411,dardos,0.2645,2026-05-21T16:04:52.108035+00:00
Home Appliances,14,0.3741,0.6575,0.4327,1.1535,44.8801,0.139,2,4,8,3,4,2,5,espumador leche,0.6575,difusor de aromas,0.6514,humidificador de aire,0.6442,2026-05-21T16:04:52.108035+00:00
Shoes,2,0.3667,0.6488,0.5025,-0.0796,0.0,0.0203,1,0,1,1,0,0,1,patines en linea,0.6488,zapatero,0.0846,,,2026-05-21T16:04:52.108035+00:00
Security & Protection,3,0.34,0.6022,0.343,1.2561,13.9365,0.0112,0,1,2,1,0,0,2,kit primeros auxilios,0.6022,cerradura inteligente,0.2463,camara seguridad interior,0.1714,2026-05-21T16:04:52.108035+00:00
Tools,15,0.3352,0.6616,0.3428,0.9923,84.0197,0.1317,2,4,9,3,2,3,7,tijeras podar,0.6616,juego de cuchillos,0.6498,navaja multiusos,0.6282,2026-05-21T16:04:52.108035+00:00
Home & Garden,94,0.324,0.6702,0.3158,0.7522,189.5839,0.0963,9,24,61,21,10,17,46,ganchos ropa,0.6702,bascula cocina,0.669,cafetera italiana,0.6672,2026-05-21T16:04:52.108035+00:00
Consumer Electronics,19,0.3136,0.7398,0.2723,0.8043,370.149,0.1053,3,2,14,5,0,5,9,calefactor electrico,0.7398,bolsa termica,0.6713,taladro de bateria,0.6558,2026-05-21T16:04:52.108035+00:00
"Automobiles, Parts & Accessories",11,0.3114,0.6659,0.269,0.7511,127.1758,0.0914,1,3,7,2,0,3,6,carros hibridos,0.6659,faros led para carro,0.5703,aire acondicionado portatil,0.5296,2026-05-21T16:04:52.108035+00:00
