_id_x,request_id,generated_at,keyword,country,region,language,aliexpress_query_page,aliexpress_query_page_size,aliexpress_query_ship_to_country,aliexpress_query_target_currency,aliexpress_query_target_language,fusion_combined_score,fusion_recommendation,fusion_weight_trends,fusion_weight_youtube,_id_y,query_used,videos_analyzed,total_views,intent_score,_id,series_count,trend_score,signals_growth_7_vs_30,signals_recent_peak_30d,signals_slope_14d,sale_price,evaluation_rate,engagement,growth,target
69a33dd8e60c9bc0c9b11f21,e2d74e9f-7529-4143-b3c2-8a885193b424,2026-02-28 19:06:53.685,dulces picantes,MX,MX,es,1.0,10.0,MX,MXN,ES,49.52,LOW_OPPORTUNITY,0.7,0.3,69a33ddde60c9bc0c9b11f5c,dulces picantes,15.0,2946019.0,0.0464,69a33ddce60c9bc0c9b11f4c,31.0,1.18,1.45,1.0,-0.0552,19.793,93.88,184126.1875,1.45,1
69a3402172a4fab6945e57c5,fedf5a49-e37b-4d02-8cdd-062285743c89,2026-02-28 19:20:35.199,plantilla de tenis,MX,MX,es,0.0,0.0,MX,MXN,ES,57.28,MODERATE_OPPORTUNITY,0.7,0.3,69a3402672a4fab6945e57f3,plantilla de tenis,2.0,1423.0,0.0318,69a3402672a4fab6945e57f0,31.0,1.264,1.66,1.0,-0.0414,56.138,80.25,474.3333333333333,1.66,1
69a3420449515b5f1e9c6d51,8605111e-d6dc-4601-95a6-104bc682eecd,2026-02-28 19:28:39.176,nintendo switch 2,MX,MX,es,0.0,0.0,MX,MXN,ES,35.45,LOW_OPPORTUNITY,0.7,0.3,69a3420949515b5f1e9c6d87,nintendo switch 2,10.0,23939.0,0.317,69a3420849515b5f1e9c6d7c,31.0,1.0,1.0,1.0,0.0173,55.178999999999995,96.62,2176.2727272727275,1.0,1
69a34237599aa2cde384922c,f2009e0f-b6fc-4c88-a613-b26a16d658e1,2026-02-28 19:29:18.630,corbatas,MX,MX,es,0.0,0.0,MX,MXN,ES,36.72,LOW_OPPORTUNITY,0.7,0.3,69a34240599aa2cde3849284,corbatas,44.0,3806371.0,0.0527,69a3423c599aa2cde3849257,31.0,1.02,1.05,1.0,-0.0041,14.805000000000001,96.53,84586.02222222222,1.05,1
69a3444e206630fee24525d4,8abc67ec-c391-4f98-9f5a-30b00fe8e7bf,2026-02-28 19:30:14.965,spinner,MX,MX,es,0.0,0.0,MX,MXN,ES,46.56,LOW_OPPORTUNITY,1.0,0.0,69a34453206630fee24525ff,spinner,0.0,0.0,0.0,69a34453206630fee24525fe,31.0,0.972,0.93,1.0,-0.0007,22.694444444444443,92.55555555555556,0.0,0.93,0
69a35911384905718b7bfc8d,8abc67ec-c391-4f98-9f5a-30b00fe8e7bf,2026-02-28 19:30:14.965,spinner,MX,MX,es,0.0,0.0,MX,MXN,ES,46.56,LOW_OPPORTUNITY,1.0,0.0,69a34453206630fee24525ff,spinner,0.0,0.0,0.0,69a34453206630fee24525fe,31.0,0.972,0.93,1.0,-0.0007,22.694444444444443,92.55555555555556,0.0,0.93,0
69a36c2a3b12c7d8bd5705b5,7fa5b873-1fe9-4266-afd0-11bbe5100d2f,2026-02-28 22:28:39.543,juguetes de broma,MX,MX,es,0.0,0.0,MX,MXN,ES,17.41,NOT_RECOMMENDED,0.7,0.3,69a36c313b12c7d8bd5705f8,juguetes de broma,24.0,2092868.0,0.0613,69a36c2f3b12c7d8bd5705df,31.0,0.6,0.0,1.0,-0.3385,20.084444444444443,95.61111111111111,83714.72,0.0,0
69a374acadad4f32d234b7d6,96770dfe-8849-4825-86b2-f5165486d25d,2026-02-28 23:04:57.358,relojes G-shock,MX,MX,es,0.0,0.0,MX,MXN,ES,21.19,NOT_RECOMMENDED,0.7,0.3,69a374b5adad4f32d234b83f,relojes G-shock,1.0,302.0,0.6327,69a374b5adad4f32d234b83d,91.0,0.4,1.0,0.0,0.0,23.738,95.02000000000001,151.0,1.0,0
69a37629edd952f0bd2a5e94,10377eac-e323-4aa1-afb0-4b75e36e7b93,2026-02-28 23:11:17.844,impresora en 3D,MX,MX,es,0.0,0.0,MX,MXN,ES,59.32,MODERATE_OPPORTUNITY,0.7,0.3,69a37636edd952f0bd2a5f06,impresora en 3D,10.0,6542.0,0.1211,69a37635edd952f0bd2a5efb,91.0,1.376,1.94,1.0,-0.0103,44.478,96.89,594.7272727272727,1.94,1
69a37718bc4bda60d56b58c2,6461ff0a-2076-4328-a762-d62f87b9cef5,2026-02-28 23:15:17.557,arma NERF,MX,MX,es,0.0,0.0,MX,MXN,ES,62.74,MODERATE_OPPORTUNITY,0.7,0.3,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,49.51,58.86666666666667,0.0,0.0,0
